l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,mean
0.01,272,284,268,289,291,300,304,268,278,280,283.4
0.039166667,279,295,285,285,275,302,286,288,269,318,288.2
0.068333333,278,306,272,315,267,284,264,277,291,295,284.9
0.0975,279,286,289,269,289,278,290,310,291,290,287.1
0.126666667,284,293,286,280,268,280,283,272,294,289,282.9
0.155833333,301,283,296,299,286,300,292,295,276,265,289.3
0.185,299,283,270,280,280,275,269,274,290,260,278
0.214166667,292,271,272,311,282,285,297,280,291,237,281.8
0.243333333,244,302,272,280,283,280,295,296,306,277,283.5
0.2725,291,298,268,299,281,293,263,289,291,279,285.2
