l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11,mean
0.05,38,32,30,34,35,26,32,24,31,29,32,31,31.16666667
0.0875,32,30,27,38,28,25,31,39,25,30,24,33,30.16666667
0.125,24,26,22,28,30,26,34,32,24,35,26,34,28.41666667
0.1625,29,35,35,35,25,27,32,38,36,29,29,25,31.25
0.2,33,30,40,25,34,26,32,29,35,30,26,32,31
0.2375,28,24,32,32,37,29,22,33,28,26,27,32,29.16666667
0.275,29,34,23,33,31,25,27,31,30,30,31,30,29.5
0.3125,26,27,21,24,21,33,23,30,34,29,29,28,27.08333333
0.35,31,37,30,34,40,30,25,29,27,27,14,34,29.83333333
0.3875,33,35,27,24,26,31,29,38,37,24,41,29,31.16666667
0.425,32,29,24,22,32,25,28,31,33,26,24,29,27.91666667
0.4625,34,28,26,30,31,25,28,28,28,37,25,30,29.16666667
