l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11
0.05,28,30,33,29,26,32,29,26,30,36,19,25
0.0875,29,35,29,31,37,27,27,24,32,20,31,40
0.125,24,34,37,30,35,35,35,31,29,29,30,25
0.1625,22,30,28,33,22,32,32,31,32,42,33,24
0.2,32,29,24,29,23,25,20,28,26,36,32,25
0.2375,26,25,25,22,31,37,31,30,29,31,40,28
0.275,34,24,28,39,27,26,35,24,34,24,30,29
0.3125,34,26,28,37,28,28,28,35,29,35,25,27
0.35,32,29,22,30,40,27,26,29,35,29,30,30
0.38749999999999996,30,31,29,35,33,31,27,21,34,32,32,27
0.42499999999999993,32,23,31,27,30,18,29,31,29,26,33,30
0.4624999999999999,22,32,33,32,24,34,26,31,30,31,29,35
