l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11
0.05,33,32,40,26,28,27,29,27,27,31,26,25
0.0875,38,29,26,36,23,30,36,36,29,28,22,29
0.125,21,33,27,40,38,35,31,39,31,31,27,28
0.1625,28,34,27,28,30,33,26,30,34,24,24,31
0.2,31,28,23,36,29,30,31,26,30,34,34,29
0.2375,32,26,30,18,33,33,24,30,25,35,29,32
0.275,32,30,34,30,30,29,28,37,26,32,30,26
0.3125,34,20,29,29,36,26,29,22,30,31,26,39
0.35,38,24,38,38,34,34,18,22,23,33,25,33
0.38749999999999996,30,34,38,31,26,31,27,33,28,34,32,32
0.42499999999999993,28,32,30,27,35,35,32,36,36,18,26,23
0.4624999999999999,30,36,32,29,30,29,26,29,40,46,24,29
