,del_s2w,z_len,desired_vel_class
0,0.5,250,0
1,0.5,500,0
2,0.5,750,0
3,0.5,1000,0
4,0.5,1250,0
5,0.5,1500,0
6,1.5,250,0
7,1.5,500,0
8,1.5,750,0
9,1.5,1000,0
10,1.5,1250,0
11,1.5,1500,0
12,2.5,250,0
13,2.5,500,0
14,2.5,750,0
15,2.5,1000,0
16,2.5,1250,0
17,2.5,1500,0
18,3.5,250,0
19,3.5,500,0
20,3.5,750,0
21,3.5,1000,0
22,3.5,1250,0
23,3.5,1500,0
24,4.5,250,0
25,4.5,500,0
26,4.5,750,0
27,4.5,1000,0
28,4.5,1250,0
29,4.5,1500,0
30,5.5,250,0
31,5.5,500,0
32,5.5,750,0
33,5.5,1000,0
34,5.5,1250,0
35,5.5,1500,0
