,del_s2w,z_len,absolute_number,desired_vel_class,enhancement_successes,enhancement_desired_molecules,enhancement_number_successes_1m,enhancement_desired_molecules_1m,enhancement_number_successes_p15m,enhancement_desired_molecules_p15m,mean_velocity,mean_velocity_reduction
0,0.5,250,527,0,0.10796967834460151,,0.8432,,0.015379676647405591,0.0,134.54485211888144,1.0583054312366273
1,0.5,500,10,0,0.005307855626326964,,0.016,,0.00029183447148777215,0.0,145.77467278241414,1.1466371660660577
2,0.5,750,1,0,0.0009832841691248771,,0.0016,,2.9183447148777215e-05,0.0,173.31011867965648,1.3632259948889212
3,0.5,1000,0,0,0.0,,0.0,,0.0,0.0,,
4,0.5,1250,0,0,0.0,,0.0,,0.0,0.0,,
5,0.5,1500,0,0,0.0,,0.0,,0.0,0.0,,
6,1.5,250,2363,0,0.48412210612579387,,3.7808,,0.06896048561256056,0.0,118.02679968272435,0.9283774233542416
7,1.5,500,401,0,0.21284501061571126,,0.6416,,0.011702562306659663,0.0,105.81323863534689,0.8323077648900234
8,1.5,750,138,1,0.13569321533923304,inf,0.2208,inf,0.0040273157065312554,1.0,94.52640490130514,0.7435275755770436
9,1.5,1000,58,0,0.0928,,0.0928,,0.0016926399346290785,0.0,86.81767212283573,0.6828920801349916
10,1.5,1250,7,0,0.016355140186915886,,0.0112,,0.0002042841300414405,0.0,91.08264124524008,0.716439554566112
11,1.5,1500,2,0,0.006578947368421052,,0.0032,,5.836689429755443e-05,0.0,76.56290712243542,0.6022299565006388
12,2.5,250,7645,1,1.566277402171686,inf,12.232,inf,0.2231074534524018,1.0,111.78283058370678,0.8792634936430904
13,2.5,500,4361,7,2.314755838641189,inf,6.9776,inf,0.12726901301581742,7.0,96.60028018061844,0.7598403027995267
14,2.5,750,2555,2,2.512291052114061,inf,4.088,inf,0.07456370746512578,2.0,86.80146504866535,0.6827645982258078
15,2.5,1000,1318,6,2.1088,inf,2.1088,inf,0.038463783342088366,6.0,80.99098686841342,0.6370604295459897
16,2.5,1250,568,0,1.3271028037383177,,0.9088,,0.01657619798050546,0.0,79.790314743333,0.6276161601362298
17,2.5,1500,219,0,0.7203947368421053,,0.3504,,0.00639117492558221,0.0,80.2386086322141,0.6311423586486326
18,3.5,250,11845,0,2.4267568121286622,,18.952,,0.3456779314772661,0.0,114.03085652764864,0.8969460584426145
19,3.5,500,8454,5,4.487261146496815,inf,13.5264,inf,0.24671686219576255,5.0,100.19921496977005,0.7881488718309173
20,3.5,750,5799,13,5.702064896755163,inf,9.2784,inf,0.16923481001575907,13.0,90.34491946526394,0.7106367686980918
21,3.5,1000,3453,10,5.5248,inf,5.5248,inf,0.10077044300472772,10.0,84.78222563998102,0.6668816268632954
22,3.5,1250,1902,4,4.44392523364486,inf,3.0432,inf,0.05550691647697426,4.0,82.52230975121077,0.649105537911856
23,3.5,1500,1088,0,3.5789473684210527,,1.7408,,0.03175159049786961,0.0,79.20719198513257,0.6230294221647471
24,4.5,250,14187,2,2.9065765212046712,inf,22.6992,inf,0.4140255646997023,2.0,115.51644682557529,0.9086314425812737
25,4.5,500,11070,10,5.875796178343949,inf,17.712,inf,0.32306075993696376,10.0,102.53601987177332,0.8065297558304425
26,4.5,750,8505,14,8.36283185840708,inf,13.608,inf,0.2482052180003502,14.0,93.08917732336391,0.7322226038319016
27,4.5,1000,5922,10,9.4752,inf,9.4752,inf,0.17282437401505865,10.0,87.30757297584186,0.686745551489256
28,4.5,1250,3858,3,9.014018691588785,inf,6.1728,inf,0.11258973909998249,3.0,83.89684532212229,0.6599173856876316
29,4.5,1500,2326,0,7.651315789473684,,3.7216,,0.0678806980680558,0.0,81.88372940828548,0.6440825806261944
30,5.5,250,16177,1,3.314279860684286,inf,25.8832,inf,0.472100624525769,1.0,117.89143886342683,0.9273126996730068
31,5.5,500,13347,4,7.084394904458598,inf,21.3552,inf,0.38951146909472945,4.0,107.07744337545566,0.8422517703393738
32,5.5,750,11026,5,10.841691248770895,inf,17.6416,inf,0.32177668826241757,5.0,97.59703239988013,0.7676805751743461
33,5.5,1000,8402,11,13.4432,inf,13.4432,inf,0.24519932294402616,11.0,90.59717574533755,0.7126209708958062
34,5.5,1250,5996,2,14.009345794392523,inf,9.5936,inf,0.17498394910406817,2.0,86.93690074764805,0.6838299108970803
35,5.5,1500,4051,0,13.325657894736842,,6.4816,,0.11822214439969649,0.0,85.52715914012832,0.6727411388156324
36,6.5,250,17713,1,3.6289694734685516,inf,28.3408,inf,0.5169263993462908,1.0,118.50645714943467,0.9321503220877003
37,6.5,500,14815,4,7.863588110403397,inf,23.704,inf,0.4323527695091344,4.0,108.26955301947112,0.8516286888243441
38,6.5,750,12654,13,12.442477876106194,inf,20.2464,inf,0.36928734022062687,13.0,99.38985141771126,0.781782564763056
39,6.5,1000,10254,4,16.4064,inf,16.4064,inf,0.2992470670635615,4.0,94.83348291166666,0.7459429955731337
40,6.5,1250,8144,0,19.02803738317757,,13.0304,,0.23766999357964164,0.0,92.26081032412685,0.7257068190913961
41,6.5,1500,6163,0,20.273026315789473,,9.8608,,0.17985758477791397,0.0,90.79881026341687,0.7142069914848331
